default|BSC|BSC
default|Result_Time|Result_Time
default|Obj_Name|Obj_Name
default|LAC|LAC
default|CI|CI
default|TARGET_CI|TARGET_CI
1275071417|1278069421|BSC_CALL_ACCESS_DUR_AVG
1275071417|1278069422|BSC_CALL_ESTB_DUR_AVG
1275071418|1278070417|CELL_DEL_IND
1275071418|1278070418|CELL_CCCH_LOAD_RACH_OVERLOADS
1275071418|1278070419|CELL_CCCH_LOAD_PCH_OVERLOADS
1275071418|1278070420|CELL_OVERLOAD_PS
1275071418|1278070424|CELL_FCTRL_LEV_UP
1275071418|1278070425|CELL_FCTRL_LEV_DOWN
1275071418|1278070426|CELL_FCTRL_LEV_TRIG_IGNORES
1275071418|1278070427|CELL_FCTRL_HIGHEST_LEV_DELAYS
1275071418|1278070428|CELL_FCTRL_PAGING_MSG_DEL_PCH_QUE
1275071418|1278070429|CELL_FCTRL_PCH_QUE_MAX_TN
1275071418|1278070430|CELL_PAGING_OVERLOAD
1275071418|1278070431|CELL_DISC_CH_REQ_MOC
1275071418|1278070432|CELL_DISC_CH_REQ_MTC
1275071418|1278070433|CELL_DISC_CH_REQ_ECALL
1275071418|1278070434|CELL_DISC_CH_REQ_CALL_REESTB
1275071418|1278070435|CELL_DISC_CH_REQ_LOC_UPDATE
1275071418|1278070436|CELL_DISC_CH_REQ_PACKET_CALL
1275071418|1278070437|CELL_DISC_CH_REQ_LMU_AND_RESERVED
1275071418|1278070438|CELL_DISC_CH_REQ_PROTOCOL_INCOMPATIBLE
1275071418|1278070439|CELL_DISC_CH_REQ
1275071419|1278071417|CELL_UL_Pt_to_Pt_SMS_SD
1275071419|1278071418|CELL_DL_Pt_to_Pt_SMS_SD
1275071419|1278071419|CELL_UL_Pt_to_Pt_SMS_TCH
1275071419|1278071420|CELL_DL_Pt_to_Pt_SMS_TCH
1275071419|1278071421|CELL_UL_Pt_to_Pt_SMS
1275071419|1278071422|CELL_DL_Pt_to_Pt_SMS
1275071419|1278071423|CELL_Pt_to_Pt_SMS_SD
1275071419|1278071424|CELL_Pt_to_Pt_SMS_TCH
1275071420|1278072417|CELL_CALL_DROPS_ERR_IND_T200_EXP_SD
1275071420|1278072418|CELL_CALL_DROPS_ERR_IND_UNSOLICITED_DM_RESP_SD
1275071420|1278072419|CELL_CALL_DROPS_ERR_IND_SEQ_ERR_SD
1275071420|1278072420|CELL_CALL_DROPS_ERR_IND_T200_EXP_TCHF_SIG
1275071420|1278072421|CELL_CALL_DROPS_ERR_IND_UNSOLICITED_DM_RESP_TCHF_SIG
1275071420|1278072422|CELL_CALL_DROPS_ERR_IND_SEQ_ERR_TCHF_SIG
1275071420|1278072423|CELL_CALL_DROPS_ERR_IND_T200_EXP_TCHH_SIG
1275071420|1278072424|CELL_CALL_DROPS_ERR_IND_UNSOLICITED_DM_RESP_TCHH_SIG
1275071420|1278072425|CELL_CALL_DROPS_ERR_IND_SEQ_ERR_TCHH_SIG
1275071420|1278072426|CELL_CALL_DROPS_ERR_IND_T200_EXP_TCHF_TRAF
1275071420|1278072427|CELL_CALL_DROPS_ERR_IND_UNSOLICITED_DM_RESP_TCHF_TRAF
1275071420|1278072428|CELL_CALL_DROPS_ERR_IND_SEQ_ERR_TCHF_TRAF
1275071420|1278072429|CELL_CALL_DROPS_ERR_IND_T200_EXP_TCHH_TRAF
1275071420|1278072430|CELL_CALL_DROPS_ERR_IND_UNSOLICITED_DM_RESP_TCHH_TRAF
1275071420|1278072431|CELL_CALL_DROPS_ERR_IND_SEQ_ERR_TCHH_TRAF
1275071420|1278072432|CELL_CALL_DROPS_CONN_FAIL_RL_FAIL_SD
1275071420|1278072433|CELL_CALL_DROPS_CONN_FAIL_HO_ACCESS_FAIL_SD
1275071420|1278072434|CELL_CALL_DROPS_CONN_FAIL_OM_INTERVENTION_SD
1275071420|1278072435|CELL_CALL_DROPS_CONN_FAIL_NO_RADIO_RES_SD
1275071420|1278072436|CELL_CALL_DROPS_CONN_FAIL_OTHER_SD
1275071420|1278072437|CELL_CALL_DROPS_CONN_FAIL_RL_TCHF_SIG
1275071420|1278072438|CELL_CALL_DROPS_CONN_FAIL_HO_ACCESS_FAIL_TCHF_SIG
1275071420|1278072439|CELL_CALL_DROPS_CONN_FAIL_OM_INTERVENTION_TCHF_SIG
1275071420|1278072440|CELL_CALL_DROPS_CONN_FAIL_RADIO_RES_NO_TCHF_SIG
1275071420|1278072441|CELL_CALL_DROPS_CONN_FAIL_OTHER_TCHF_SIG
1275071420|1278072442|CELL_CALL_DROPS_CONN_FAIL_RL_FAIL_TCHH_SIG
1275071420|1278072443|CELL_CALL_DROPS_CONN_FAIL_HO_ACCESS_FAIL_TCHH_SIG
1275071420|1278072444|CELL_CALL_DROPS_CONN_FAIL_OM_INTERVENTION_TCHH_SIG
1275071420|1278072445|CELL_CALL_DROPS_CONN_FAIL_NO_RADIO_RES_TCHH_SIG
1275071420|1278072446|CELL_CALL_DROPS_CONN_FAIL_OTHER_TCHH_SIG
1275071420|1278072447|CELL_CALL_DROPS_CONN_FAIL_RL_FAIL_TCHF_TRAF
1275071420|1278072448|CELL_CALL_DROPS_CONN_FAIL_HO_ACCESS_FAIL_TCHF_TRAF
1275071420|1278072449|CELL_CALL_DROPS_CONN_FAIL_OM_INTERVENTION_TCHF_TRAF
1275071420|1278072450|CELL_CALL_DROPS_CONN_FAIL_RADIO_RES_NO_TCHF_TRAF
1275071420|1278072451|CELL_CALL_DROPS_CONN_FAIL_OTHER_TCHF_TRAF
1275071420|1278072452|CELL_CALL_DROPS_CONN_FAIL_RL_FAIL_TCHH_TRAF
1275071420|1278072453|CELL_CALL_DROPS_CONN_FAIL_HO_ACCESS_FAIL_TCHH_TRAF
1275071420|1278072454|CELL_CALL_DROPS_CONN_FAIL_OM_INTERVENTION_TCHH_TRAF
1275071420|1278072455|CELL_CALL_DROPS_CONN_FAIL_NO_RADIO_RES_TCHH_TRAF
1275071420|1278072456|CELL_CALL_DROPS_CONN_FAIL_OTHER_TCHH_TRAF
1275071420|1278072457|CELL_CALL_DROPS_REL_IND_SD
1275071420|1278072458|CELL_CALL_DROPS_REL_IND_TCHF_SIG
1275071420|1278072459|CELL_CALL_DROPS_REL_IND_TCHF_TRAF
1275071420|1278072460|CELL_CALL_DROPS_REL_IND_TCHH_SIG
1275071420|1278072461|CELL_CALL_DROPS_REL_IND_TCHH_TRAF
1275071420|1278072462|CELL_CALL_DROPS_NO_MR_SD
1275071420|1278072463|CELL_CALL_DROPS_NO_MR_TCHF_SIG
1275071420|1278072464|CELL_CALL_DROPS_NO_MR_TCHF_TRAF
1275071420|1278072465|CELL_CALL_DROPS_NO_MR_TCHH_SIG
1275071420|1278072466|CELL_CALL_DROPS_NO_MR_TCHH_TRAF
1275071420|1278072467|CELL_CALL_DROPS_ABIS_LNK_FAIL_SD
1275071420|1278072468|CELL_CALL_DROPS_ABIS_LNK_FAIL_TCHF_SIG
1275071420|1278072469|CELL_CALL_DROPS_ABIS_LNK_FAIL_TCHF_TRAF
1275071420|1278072470|CELL_CALL_DROPS_ABIS_LNK_FAIL_TCHH_SIG
1275071420|1278072471|CELL_CALL_DROPS_ABIS_LNK_FAIL_TCHH_TRAF
1275071420|1278072472|CELL_CALL_DROPS_EQUIP_FAIL_SD
1275071420|1278072473|CELL_CALL_DROPS_EQUIP_FAIL_TCHF_SIG
1275071420|1278072474|CELL_CALL_DROPS_EQUIP_FAIL_TCHF_TRAF
1275071420|1278072475|CELL_CALL_DROPS_EQUIP_FAIL_TCHH_SIG
1275071420|1278072476|CELL_CALL_DROPS_EQUIP_FAIL_TCHH_TRAF
1275071420|1278072477|CELL_CALL_DROPS_FORCE_HO_SD
1275071420|1278072478|CELL_CALL_DROPS_FORCE_HO_TCHF_SIG
1275071420|1278072479|CELL_CALL_DROPS_FORCE_HO_TCHF_TRAF
1275071420|1278072480|CELL_CALL_DROPS_FORCE_HO_TCHH_SIG
1275071420|1278072481|CELL_CALL_DROPS_FORCE_HO_TCHH_TRAF
1275071420|1278072482|CELL_CALL_DROPS_RES_CHECK_SD
1275071420|1278072483|CELL_CALL_DROPS_RES_CHECK_TCHF_SIG
1275071420|1278072484|CELL_CALL_DROPS_RES_CHECK_TCHH_SIG
1275071420|1278072485|CELL_CALL_DROPS_RES_CHECK_TCHF_TRAF
1275071420|1278072486|CELL_CALL_DROPS_RES_CHECK_TCHH_TRAF
1275071420|1278072487|CELL_CALL_DROPS_AFTER_CONN_TCHF_TRAF
1275071420|1278072488|CELL_CALL_DROPS_AFTER_CONN_TCHH_TRAF
1275071420|1278072489|CELL_CONN_TCHF_TRAF
1275071420|1278072490|CELL_CONN_TCHH_TRAF
1275071420|1278072491|CELL_A_CLR_REQ_SD
1275071420|1278072492|CELL_A_CLR_REQ_TCHF_SIG
1275071420|1278072493|CELL_A_CLR_REQ_TCHH_SIG
1275071420|1278072494|CELL_A_CLR_REQ_TCHF_TRAF_STATIC
1275071420|1278072495|CELL_A_CLR_REQ_TCHF_TRAF_HO
1275071420|1278072496|CELL_A_CLR_REQ_TCHH_TRAF_STATIC
1275071420|1278072497|CELL_A_CLR_REQ_TCHH_TRAF_HO
1275071420|1278072498|CELL_TRAF_CH_CALL_DROPS
1275071420|1278072499|CELL_SIG_STATIC_STATE_CALL_DROPS
1275071420|1278072500|CELL_SIG_HO_STATE_CALL_DROPS
